userid,query,service_class,query_cpu_time,query_blocks_read,query_execution_time,query_cpu_usage_percent,query_temp_blocks_to_disk,segment_execution_time,cpu_skew,io_skew,scan_row_count,join_row_count,nested_loop_join_row_count,return_row_count,spectrum_scan_row_count,spectrum_scan_size_mb,query_queue_time,service_class_name,starttime,querytxt
107,11288648,102,5834,921492,210,18.90,278360,136,80.00,1.02,6985286288,3482263986,3482263986,22453880,,,,Default queue                                                   ,2020-05-05 21:13:35.256578,fetch 10000 in "SQL_CUR6";                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
133,11308706,101,2706,31840,337,4.58,102396,110,53.16,80.00,1420511865,266233118,,,,,,Queue 2                                                         ,2020-05-06 00:03:32.859560,"INSERT INTO hourly_asin_orders_new ( country, channel, marketplace, asin, hour, quantity, merchant_type ) SELECT ""hourly_asin_orders_view"".* FROM ""hourly_asin_orders_view""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
133,11293718,101,2461,30736,328,4.99,95717,130,50.21,2.03,1420428750,266401829,,,,,,Queue 2                                                         ,2020-05-05 22:03:25.382961,"INSERT INTO hourly_asin_orders_new ( country, channel, marketplace, asin, hour, quantity, merchant_type ) SELECT ""hourly_asin_orders_view"".* FROM ""hourly_asin_orders_view""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
133,11290209,101,2553,31026,305,5.13,92323,102,80.00,4.44,1420408285,266515336,,,,,4,Queue 2                                                         ,2020-05-05 21:38:30.163816,"INSERT INTO hourly_asin_orders_new ( country, channel, marketplace, asin, hour, quantity, merchant_type ) SELECT ""hourly_asin_orders_view"".* FROM ""hourly_asin_orders_view""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
133,11286997,101,2539,31179,321,4.67,91800,110,53.60,2.50,1420383750,264702306,,,,,,Queue 2                                                         ,2020-05-05 21:03:30.210710,"INSERT INTO hourly_asin_orders_new ( country, channel, marketplace, asin, hour, quantity, merchant_type ) SELECT ""hourly_asin_orders_view"".* FROM ""hourly_asin_orders_view""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
133,11289742,101,2409,31586,228,5.99,70510,80,50.24,1.25,1416608768,265764060,,,,,,Queue 2                                                         ,2020-05-05 21:33:25.840711,"INSERT INTO hourly_asin_orders_new ( country, channel, marketplace, asin, hour, quantity, merchant_type ) SELECT ""hourly_asin_orders_view"".* FROM ""hourly_asin_orders_view""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
133,11297942,101,2481,31669,331,4.59,69750,143,56.00,2.11,1419068416,266871728,,,,,,Queue 2                                                         ,2020-05-05 22:38:25.129942,"INSERT INTO hourly_asin_orders_new ( country, channel, marketplace, asin, hour, quantity, merchant_type ) SELECT ""hourly_asin_orders_view"".* FROM ""hourly_asin_orders_view""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
133,11302004,101,2487,31282,275,5.22,68189,108,80.00,6.25,1417096192,265675887,,,,,,Queue 2                                                         ,2020-05-05 23:08:31.653369,"INSERT INTO hourly_asin_orders_new ( country, channel, marketplace, asin, hour, quantity, merchant_type ) SELECT ""hourly_asin_orders_view"".* FROM ""hourly_asin_orders_view""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
133,11297321,101,2426,31344,254,5.53,66699,81,80.00,5.00,1417069568,265718487,,,,,,Queue 2                                                         ,2020-05-05 22:33:25.288235,"INSERT INTO hourly_asin_orders_new ( country, channel, marketplace, asin, hour, quantity, merchant_type ) SELECT ""hourly_asin_orders_view"".* FROM ""hourly_asin_orders_view""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
133,11310888,101,2872,31987,388,4.09,62666,121,53.33,1.39,1418928128,266057648,,,,,6,Queue 2                                                         ,2020-05-06 00:18:37.401084,"INSERT INTO hourly_asin_orders_new ( country, channel, marketplace, asin, hour, quantity, merchant_type ) SELECT ""hourly_asin_orders_view"".* FROM ""hourly_asin_orders_view""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
